Paragraphs,Score
"The pressing task at the moment is for the two sides to honor their commitments in the agreement, accommodate each other's core concerns and earnestly implement the deal.",1
"With the aim of maintaining peace and stability and promoting development and prosperity in the region, this dialogue focused on deepening cooperation in economy, trade, culture, connectivity, BRI and counter-terrorism such as ETIM forces.",1
"On the sidelines of the meeting, State Councilor Wang will also have bilateral meetings with his foreign counterparts for better collaboration an bilateral relations.",1
Different countries have different traditional customs.,1
Premier Li Keqiang and NPC Chairman Li Zhanshu will meet with him respectively.,1
"A: The 8th World Peace Forum will be held from July 8 to 9 under the them of ""stabilizing the international order: common responsibility, joint governance and shared benefits"".",1
"On issues regarding Hong Kong, Yang Jiechi pointed out that Hong Kong affairs including the establishment of a legal system and enforcement mechanisms to uphold national security in Hong Kong are purely China's internal affairs. China is resolutely determined in advancing the national security legislation. We firmly oppose US interference in Hong Kong affairs and the G7 Foreign Ministers' Statement on Hong Kong. China urges the US side to respect China's sovereignty, view the legislation objectively and fairly, and stop meddling in Hong Kong's internal affairs in any form.",0
"Under current circumstances, we hope all parties will remain calm and restrained, resolve differences regarding compliance through dialogue and consultation under the JCPOA Joint Commission, and take concrete actions to preserve and implement the deal by restoring the balance of rights and obligations.",1
"Zhao Lijian: China recently donated another batch of 15 ventilators to Papua New Guinea. This is the latest step China has taken to deepen anti-epidemic cooperation with Papua New Guinea. Since the outbreak of COVID-19, China and Papua New Guinea have stood shoulder to shoulder to protect the safety and health of the two peoples as well as regional and global health security. China has provided a total of 12 tons of anti-epidemic supplies to the central and local governments and people from all walks of life in Papua New Guinea, including more than 300,000 masks and 10,000 protective suits. Chinese enterprises in Papua New Guinea have overcome the impact of the epidemic and actively resumed work and production by taking chartered flights for their employees, playing an important role in strengthening the country's epidemic prevention and control capacity and boosting its economic and social recovery.",2
Their little tricks are just pointless.,0
The Chinese people cannot be insulted or bullied.,0
"China stands ready to work with other countries to carry forward the lunar exploration spirit of pursuing dreams, daring to explore, cooperating in tackling difficulties and win-win ccooperation, so as to make greater contributions to the peaceful use of space and the building of a community with a shared future for humanity.",2
"During Foreign Minister Hishammuddin bin Tun Hussein's visit, the two sides have had in-depth exchanges in a friendly atmosphere and reached an important five-point consensus.",2
"Our common pursuit should be taking history as a mirror, facing the future, cherishing peace and promoting friendship.",2
Organizations that violate laws and regulations and undermine China's national security shall be handled in accordance with law.,0
"It is marked by ensuring that power belongs to the people in the form of legislation, that is, citizens have the right to manage state affairs and use their power lawfully.",1
"The surveillance program also covered telephone calls of leaders of 35 foreign countries including closest allies of the US, in some cases for as long as ten years.",0
"Zhao Lijian: The Chinese government is firmly determined to uphold China's sovereignty, security and development interests, to implement ""one country, two systems"" and to oppose interference in Hong Kong affairs by external elements. The Chinese side will continue handling relevant affairs in accordance with laws and regulations and offer necessary convenience. ",0
"First, data fraud. In his report on so-called forced sterilization, Adrian Zenz claimed that ""in 2018, 80 percent of all net added IUD placements in China were performed in Xinjiang"", but the fact is that Xinjiang accounted for only 8.7 percent of the country's new IUD placements in 2018, according to China's National Health Commission. ",0
"It will also advance trade and investment liberalization and facilitation in this region, boost greater potential and deliver more benefits to local people.",2
"This year marks the 40th anniversary of the establishment of diplomatic ties between China and the US. Just recently, State Councilor and Foreign Minister Wang Yi gave an exclusive interview to the People's Daily. Some of what he said merit thinking and reflection by the US side. State Councilor Wang Yi said that China and the US share more common interests than differences. Contradictions and disputes shall not define the current China-US ties. What is more important is that prejudice and misjudgment shall not dictate the future China-US ties. Only with an open mind and inclusive attitude to view things in a momentum of development can bilateral relations break more grounds for development. State Councilor Wang Yi stressed that the right choice must be made when it comes to matters of strategic mutual trust. China is committed to the path of peaceful development. China will not become the US and China has no intention of replacing the US. There will be competition between the two sides, but such competition needs to be positive and conforms with rules. The two sides should be committed to door-opening instead of barrier-erecting, follow the new concept of mutual benefit and win-win results, and discard the outdated mentality of zero-sum game. No malicious attacks shall be allowed to tarnish China-US ties and poison the social foundation of bilateral relations. ",1
This is also the advice of WHO and a prevention measure commonly adopted by all countries.,1
We hope that the relevant media can report on China's policy and China-Australia relations in an objective and unbiased way.,0
"China is�ready to work together with the international community to step up support for African countries, particularly those that are hardest hit by the coronavirus and are under heavy financial stress, by such means as further extending the period of debt suspension, to help them tide over the current difficulty.",2
China and Europe pledge to support multilateralism.,2
"The five nuclear states pledge to share responsibility for
international peace and security.",2
"All these speculations are based on a wrong premise. There is no question about cancelling her journalist visa since, in the first place, she is not a journalist stationed in China.",0
"Cyber security is a global issue and cyber-attack is a common challenge faced by all countries. Cyberspace is a virtual and complicated one where the interests of all
parties are intertwined. It should be maintained by the international community, including the government, business, think tanks and media sectors, with constructive efforts. Relevant reports and accusations are fabricated without facts but with hidden motives. ",0
They are unprofessional and irresponsible.,0
"They will only heighten
tension and rivalry, instead of helping to protect the
common security of cyberspace.",0
I did not quite catch you. Is there any problem with that?,0
Anything wrong with that?,0
"In what way? The US leaders also give interviews of
this or that kind every day, don�t they?",0
I cannot understand why you think that the interview given by the Chinese leader to the three media outlets is special,0
I think that now certain people in the US are sparing no effort to win the ��Academy Award for Best Original Screenplay�.,0
"Firstly, the New York Times should have known that releasing this type of report would only add to evidence that it was fabricating fake news.",0
"Secondly, if they are worried that their iPhones are being eavesdropped, they might want to use mobile phones produced by Huawei.",0
"Thirdly, if they are still not reassured, for the sake of absolute security, they should stop using all modern communicative devices and cut themselves off from the outside world.",0
"Their words sound like the US is claiming credit for China�s development achievements, which is not only untrue but also illogical.",0
the China-US bilateral trade is by no means the so-called ��one-way street� where wealth only goes from the US to China.,0
